name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"pepp0290a","Player's Edge Plus (PP0290) Deuces Wild Poker (set 2)","1987","IGT - International Game Technology","pepp0054","pepp0054",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0291","Player's Edge Plus (PP0291) Deuces Wild Poker (set 1)","1987","IGT - International Game Technology","pepp0054","pepp0054",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0291a","Player's Edge Plus (PP0291) Deuces Wild Poker (set 2)","1987","IGT - International Game Technology","pepp0054","pepp0054",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0294","Player's Edge Plus (PP0294) Aces and Faces Bonus Joker Poker","1987","IGT - International Game Technology",-,-,-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0295","Player's Edge Plus (PP0295) Super Deuces Wild Poker","1987","IGT - International Game Technology",-,-,-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0401","Player's Edge Plus (PP0401) 4 of a Kind Bonus Poker","1987","IGT - International Game Technology","pepp0158","pepp0158",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0409","Player's Edge Plus (PP0409) 4 of a Kind Bonus Poker","1987","IGT - International Game Technology","pepp0158","pepp0158",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0410","Player's Edge Plus (PP0410) 4 of a Kind Bonus Poker (set 1)","1987","IGT - International Game Technology","pepp0158","pepp0158",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0410a","Player's Edge Plus (PP0410) 4 of a Kind Bonus Poker (set 2)","1987","IGT - International Game Technology","pepp0158","pepp0158",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0417","Player's Edge Plus (PP0417) Deuces Wild Poker (set 1)","1987","IGT - International Game Technology","pepp0054","pepp0054",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0417a","Player's Edge Plus (PP0417) Deuces Wild Poker (set 2)","1987","IGT - International Game Technology","pepp0054","pepp0054",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
