name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"mc300","MC-300 Micro Composer","1988",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_mc50.cpp",PRELIMINARE,-,"0",0,0,-,"roland_mc50.cpp"
"mc50","MC-50 Micro Composer","1990",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_mc50.cpp",PRELIMINARE,-,"0",0,0,-,"roland_mc50.cpp"
"mc50mk2","MC-50mkII Micro Composer","1992",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_mc50.cpp",PRELIMINARE,-,"0",0,0,-,"roland_mc50.cpp"
microkorg,"microKORG Synthesizer/Vocoder","2002",Korg,-,-,-,YES,NO,NO,NO,NO,microkorg.cpp,PRELIMINARE,-,"0",0,0,-,microkorg.cpp
"24cdjuke","Midcoin Juke Box 24CD","1988",Midcoin,-,-,-,YES,NO,NO,NO,NO,"24cdjuke.cpp",PRELIMINARE,-,"0",0,0,-,"24cdjuke.cpp"
minijook,MiniJook,"199?","Sound Leisure",-,-,-,YES,NO,NO,YES,NO,"cdsys5.cpp",PRELIMINARE,-,"0",0,0,-,"cdsys5.cpp"
enmirage,"Mirage DMS-8","1984",Ensoniq,-,-,-,YES,NO,NO,NO,NO,enmirage.cpp,PRELIMINARE,-,"0",0,0,-,enmirage.cpp
"mks100","MKS-100 Digital Sampler","1987",Roland,"s10","s10",-,YES,NO,NO,NO,NO,"roland_s10.cpp",PRELIMINARE,LCD,"0",96,8,HORIZONTAL,"roland_s10.cpp"
"mks30","MKS-30 Planet-S MIDI Sound Module","1984",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_jx3p.cpp",PRELIMINARE,-,"0",0,0,-,"roland_jx3p.cpp"
"mks50","MKS-50 Synthesizer Module","1987",Roland,-,-,-,YES,NO,NO,NO,NO,alphajuno.cpp,PRELIMINARE,LCD,"0",96,8,HORIZONTAL,alphajuno.cpp
"mks7","MKS-7 Super Quartet","1985",Roland,-,-,-,YES,NO,NO,NO,NO,"juno106.cpp",PRELIMINARE,-,"0",0,0,-,"juno106.cpp"
