name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"tiki100","TIKI 100","1984","Tiki Data A/S",kontiki,kontiki,-,YES,NO,NO,NO,NO,"tiki100.cpp",BUONO,RASTER,"0",1024,256,HORIZONTAL,"tiki100.cpp"
"tim011","TIM-011","1987","Mihajlo Pupin Institute",-,-,-,YES,NO,NO,NO,NO,"tim011.cpp",PRELIMINARE,RASTER,"0",512,256,HORIZONTAL,"tim011.cpp"
"tim100","TIM-100","1985","Mihajlo Pupin Institute",-,-,-,YES,NO,NO,NO,NO,"tim100.cpp",PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,"tim100.cpp"
"ts1000","Timex Sinclair 1000","1982","Timex Sinclair","zx81","zx81",-,YES,NO,NO,NO,NO,zx.cpp,BUONO,RASTER,"0",384,311,HORIZONTAL,zx.cpp
"ts1500","Timex Sinclair 1500","1983","Timex Sinclair","zx81","zx81",-,YES,NO,NO,NO,NO,zx.cpp,BUONO,RASTER,"0",384,311,HORIZONTAL,zx.cpp
"ht68k","TinyGiant HT68k","1987","Hawthorne Technology",-,-,-,YES,NO,NO,NO,NO,"ht68k.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"ht68k.cpp"
"tk90x","TK 90X Color Computer","1985","Micro Digital",spectrum,spectrum,-,YES,NO,NO,NO,NO,spectrum.cpp,BUONO,RASTER,"0",352,296,HORIZONTAL,spectrum.cpp
"tk95","TK 95 Color Computer","1986","Micro Digital",spectrum,spectrum,-,YES,NO,NO,NO,NO,spectrum.cpp,BUONO,RASTER,"0",352,296,HORIZONTAL,spectrum.cpp
"tk635","TK-635","199?",Termtek,-,-,-,YES,NO,NO,NO,NO,"tk635.cpp",PRELIMINARE,RASTER,"0",1188,416,HORIZONTAL,"tk635.cpp"
"tk80","TK-80","1976",NEC,-,-,-,YES,NO,NO,NO,NO,"tk80.cpp",BUONO,-,"0",0,0,-,"tk80.cpp"
"tk80bs","TK-80BS","1980",NEC,"tk80","tk80",-,YES,NO,NO,NO,NO,"tk80bs.cpp",PRELIMINARE,RASTER,"0",256,128,HORIZONTAL,"tk80bs.cpp"
"nectk85","TK-85","1980",NEC,"tk80","tk80",-,YES,NO,NO,NO,NO,"tk80.cpp",BUONO,-,"0",0,0,-,"tk80.cpp"
"tk2000","TK2000 Color Computer","1984",Microdigital,-,-,-,YES,NO,NO,NO,NO,"tk2000.cpp",PRELIMINARE,RASTER,"0",560,192,HORIZONTAL,"tk2000.cpp"
"tk3000","TK3000//e","1986",Microdigital,"apple2c","apple2c",-,YES,NO,NO,NO,NO,"apple2e.cpp",INCOMPLETO,RASTER,"0",560,192,HORIZONTAL,"apple2e.cpp"
"tk85","TK85","1983",Microdigital,"zx81","zx81",-,YES,NO,NO,NO,NO,zx.cpp,BUONO,RASTER,"0",384,311,HORIZONTAL,zx.cpp
"990189","TM 990/189 University Board microcomputer","1978","Texas Instruments",-,-,-,YES,NO,NO,NO,NO,"tm990189.cpp",BUONO,-,"0",0,0,-,"tm990189.cpp"
"990189v","TM 990/189 University Board microcomputer with Video Board Interface","1980","Texas Instruments","990189","990189",-,YES,NO,NO,NO,NO,"tm990189.cpp",BUONO,RASTER,"0",280,216,HORIZONTAL,"tm990189.cpp"
evmbug,"TMAM6095","19??","Texas Instruments",-,-,-,YES,NO,NO,NO,NO,evmbug.cpp,PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,evmbug.cpp
"to16","TO16","1987","Thomson SIMIV","ibm5150","ibm5150",-,YES,NO,NO,NO,NO,pc.cpp,PRELIMINARE,RASTER,"0",640,200,HORIZONTAL,pc.cpp
"to7","TO7","1982",Thomson,-,-,-,YES,NO,NO,NO,NO,thomson.cpp,BUONO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"to770","TO7/70","1984",Thomson,-,-,-,YES,NO,NO,NO,NO,thomson.cpp,BUONO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"to770a","TO7/70 (Arabic)","1984",Thomson,"to770","to770",-,YES,NO,NO,NO,NO,thomson.cpp,BUONO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"to8","TO8","1986",Thomson,-,-,-,YES,NO,NO,NO,NO,thomson.cpp,BUONO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"to8d","TO8D","1987",Thomson,"to8","to8",-,YES,NO,NO,NO,NO,thomson.cpp,BUONO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"to9","TO9","1985",Thomson,-,-,-,YES,NO,NO,NO,NO,thomson.cpp,INCOMPLETO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"to9p","TO9+","1986",Thomson,-,-,-,YES,NO,NO,NO,NO,thomson.cpp,BUONO,RASTER,"0",864,294,HORIZONTAL,thomson.cpp
"zito4dps","Tomato board 4DPS","199?",ZIDA,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
pyuuta,"Tomy Pyuuta","1982",Tomy,tutor,tutor,-,YES,NO,NO,NO,NO,tutor.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,tutor.cpp
pyuutajr,"Tomy Pyuuta Jr.","1983",Tomy,tutor,tutor,-,YES,NO,NO,NO,NO,tutor.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,tutor.cpp
tutor,"Tomy Tutor","1983?",Tomy,-,-,-,YES,NO,NO,NO,NO,tutor.cpp,BUONO,RASTER,"0",280,216,HORIZONTAL,tutor.cpp
"hyo88t","Topstar 88T","198?",Hyosung,"ibm5150","ibm5150",-,YES,NO,NO,NO,NO,pc.cpp,PRELIMINARE,RASTER,"0",640,200,HORIZONTAL,pc.cpp
torchf,"Torch CF240","1982","Torch Computers",bbcb,bbcb,bbc,YES,NO,NO,NO,NO,bbc.cpp,INCOMPLETO,RASTER,"0",640,256,HORIZONTAL,bbc.cpp
torchh,"Torch CH240","1983","Torch Computers",bbcb,bbcb,bbc,YES,NO,NO,NO,YES,bbc.cpp,INCOMPLETO,RASTER,"0",640,256,HORIZONTAL,bbc.cpp
"torch301","Torch Model 301","1984","Torch Computers",bbcb,bbcb,bbc,YES,NO,NO,NO,NO,bbc.cpp,PRELIMINARE,RASTER,"0",640,256,HORIZONTAL,bbc.cpp
"torch725","Torch Model 725","1984","Torch Computers",bbcb,bbcb,bbc,YES,NO,NO,NO,NO,bbc.cpp,PRELIMINARE,RASTER,"0",640,256,HORIZONTAL,bbc.cpp
"alator2","Tornado 2","199?",Alaris,"ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"tosh1000","Toshiba T1000","1987",Toshiba,"ibm5150","ibm5150",-,YES,NO,NO,NO,NO,"tosh1000.cpp",PRELIMINARE,RASTER,"0",640,200,HORIZONTAL,"tosh1000.cpp"
"comt386","Tower 386","199?","Commodore Business Machines","ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"comt486","Tower 486","199?","Commodore Business Machines","ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"towerat2xx","Tower AT 201, 202, 220, 240 and 260 (286,EGA)","198?","Schneider Rundfunkwerke AG","ibm5170","ibm5170",-,YES,NO,NO,NO,NO,at.cpp,PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,at.cpp
"tpc310","TPC-310 (MSX2)","1986",Talent,-,-,-,YES,NO,NO,NO,NO,msx.cpp,BUONO,RASTER,"0",543,567,HORIZONTAL,msx.cpp
"tpp311","TPP-311 (MSX2)","19??",Talent,-,-,-,YES,NO,NO,NO,NO,msx.cpp,BUONO,RASTER,"0",543,567,HORIZONTAL,msx.cpp
"tps312","TPS-312 (MSX2)","19??",Talent,-,-,-,YES,NO,NO,NO,NO,msx.cpp,BUONO,RASTER,"0",543,567,HORIZONTAL,msx.cpp
"tr175","TR-175 II","1982",Relisys,-,-,-,YES,NO,NO,NO,NO,"tr175.cpp",PRELIMINARE,RASTER,"0",720,416,HORIZONTAL,"tr175.cpp"
tricep,Tricep,"1985","Morrow Designs",-,-,-,YES,NO,NO,NO,NO,tricep.cpp,PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,tricep.cpp
"trs80dt1","TRS-80 DT-1 Data Terminal","1982","Radio Shack",-,-,-,YES,NO,NO,NO,NO,"trs80dt1.cpp",BUONO,RASTER,"0",480,256,HORIZONTAL,"trs80dt1.cpp"
"trsm100","TRS-80 Model 100","1983","Tandy Radio Shack",-,-,-,YES,NO,NO,NO,NO,kyocera.cpp,BUONO,LCD,"0",240,64,HORIZONTAL,kyocera.cpp
"trs80m16","TRS-80 Model 16","1982","Tandy Radio Shack","trs80m2","trs80m2",-,YES,NO,NO,NO,NO,"trs80m2.cpp",PRELIMINARE,RASTER,"0",640,480,HORIZONTAL,"trs80m2.cpp"
"trs80m4","TRS-80 Model 4","1980","Tandy Radio Shack","trs80m3","trs80m3",-,YES,NO,NO,NO,NO,"trs80m3.cpp",PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,"trs80m3.cpp"
"trs80m4p","TRS-80 Model 4P","1983","Tandy Radio Shack","trs80m3","trs80m3",-,YES,NO,NO,NO,NO,"trs80m3.cpp",PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,"trs80m3.cpp"
"trs80","TRS-80 Model I (Level I Basic)","1977","Tandy Radio Shack",-,-,-,YES,NO,NO,NO,NO,"trs80.cpp",BUONO,RASTER,"0",384,192,HORIZONTAL,"trs80.cpp"
"trs80l2","TRS-80 Model I (Level II Basic)","1978","Tandy Radio Shack",-,-,-,YES,NO,NO,NO,NO,"trs80.cpp",PRELIMINARE,RASTER,"0",384,192,HORIZONTAL,"trs80.cpp"
"trs80m2","TRS-80 Model II","1979","Tandy Radio Shack",-,-,-,YES,NO,NO,NO,NO,"trs80m2.cpp",INCOMPLETO,RASTER,"0",640,480,HORIZONTAL,"trs80m2.cpp"
"trs80m3","TRS-80 Model III","1980","Tandy Radio Shack",-,-,-,YES,NO,NO,NO,NO,"trs80m3.cpp",PRELIMINARE,RASTER,"0",640,240,HORIZONTAL,"trs80m3.cpp"
"ts1","TS-1 (v2.13.0)","1980","Falco Data Products",-,-,-,YES,NO,NO,NO,NO,falcots.cpp,PRELIMINARE,RASTER,"0",640,300,HORIZONTAL,falcots.cpp
"ts2068","TS-2068","1983","Timex Sinclair",spectrum,spectrum,-,YES,NO,NO,NO,NO,timex.cpp,BUONO,RASTER,"0",704,256,HORIZONTAL,timex.cpp
"ts2624","TS-2624","1982","Falco Data Products",-,-,-,YES,NO,NO,NO,NO,falcots.cpp,PRELIMINARE,RASTER,"0",640,286,HORIZONTAL,falcots.cpp
