name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
mjdejavu,"Mahjong Shinkirou Deja Vu (Japan)","1989",Dynax,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
"mjdejav2","Mahjong Shinkirou Deja Vu 2 (Japan)","1989",Dynax,mjdejavu,mjdejavu,-,YES,NO,NO,NO,NO,royalmah.cpp,PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
mjsiyoub,"Mahjong Shiyou (Japan)","1986",Visco,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
"slqz2","Mahjong Shuang Long Qiang Zhu 2 (VS203J)","1998",IGS,-,-,-,YES,NO,NO,NO,NO,"igs017.cpp",PRELIMINARE,RASTER,"0",512,240,HORIZONTAL,"igs017.cpp"
"slqz3","Mahjong Shuang Long Qiang Zhu 3 (China, VS107C)","1999",IGS,-,-,-,YES,NO,NO,NO,NO,"igs_m027.cpp",PRELIMINARE,RASTER,"0",512,256,HORIZONTAL,"igs_m027.cpp"
mjsister,"Mahjong Sisters (Japan)","1986",Toaplan,-,-,-,YES,NO,NO,NO,NO,mjsister.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,mjsister.cpp
"majs101b","Mahjong Studio 101 [BET] (Japan)","1988",Dynax,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
"sdmg2","Mahjong Super Da Man Guan II (China, V754C)","1997",IGS,-,-,-,YES,NO,NO,NO,NO,"igs017.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"igs017.cpp"
mjschuka,"Mahjong Super Dai Chuuka Ken [BET] (Japan, D115)","1995",Dynax,-,-,-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
tenkai,"Mahjong Tenkaigen","1991",Dynax,-,-,-,YES,NO,NO,NO,NO,dynax.cpp,BUONO,RASTER,"0",508,240,HORIZONTAL,dynax.cpp
tenkaibb,"Mahjong Tenkaigen (bootleg b)","1991",bootleg,tenkai,tenkai,-,YES,NO,NO,NO,NO,dynax.cpp,BUONO,RASTER,"0",508,240,HORIZONTAL,dynax.cpp
tenkaicb,"Mahjong Tenkaigen (bootleg c)","1991",bootleg,tenkai,tenkai,-,YES,NO,NO,NO,NO,dynax.cpp,BUONO,RASTER,"0",508,240,HORIZONTAL,dynax.cpp
tenkaie,"Mahjong Tenkaigen (set 2)","1991",Dynax,tenkai,tenkai,-,YES,NO,NO,NO,NO,dynax.cpp,BUONO,RASTER,"0",508,240,HORIZONTAL,dynax.cpp
"tenkai2b","Mahjong Tenkaigen Part 2 (bootleg)","1991",bootleg,tenkai,tenkai,-,YES,NO,NO,NO,NO,dynax.cpp,PRELIMINARE,RASTER,"0",508,240,HORIZONTAL,dynax.cpp
mjtensin,"Mahjong Tensinhai (Japan)","1995",Dynax,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
mjdchuka,"Mahjong The Dai Chuuka Ken [BET] (China, D111)","1995",Dynax,-,-,-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
mladyhtr,"Mahjong The Lady Hunter (Japan 900509)","1990",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8891.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"nbmj8891.cpp"
mjmyornt,"Mahjong The Mysterious Orient [BET] (Japan, v1.00)","1992",Dynax,"mjmyorn2","mjmyorn2",-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
"mjmyorn2","Mahjong The Mysterious Orient Part 2 ~ Exotic Dream ~ [BET] (Japan, v1.00)","1993",Dynax,-,-,-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
mjmyuniv,"Mahjong The Mysterious Universe [BET] (Japan, D85)","1994",Dynax,-,-,-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
mjmyster,"Mahjong The Mysterious World [BET] (Japan, set 1)","1994",Dynax,-,-,-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
mjmywrld,"Mahjong The Mysterious World [BET] (Japan, set 2)","1994",Dynax,mjmyster,mjmyster,-,YES,NO,NO,NO,NO,ddenlovr.cpp,BUONO,RASTER,"0",336,240,HORIZONTAL,ddenlovr.cpp
tjsb,"Mahjong Tian Jiang Shen Bing (V137C)","1997",IGS,-,-,-,YES,NO,NO,NO,NO,"igs017.cpp",PRELIMINARE,RASTER,"0",512,240,HORIZONTAL,"igs017.cpp"
"triplew1","Mahjong Triple Wars (Japan)","1989",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8991.cpp",BUONO,RASTER,"180",640,240,HORIZONTAL,"nbmj8991.cpp"
"triplew2","Mahjong Triple Wars 2 (Japan)","1990",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8991.cpp",BUONO,RASTER,"180",640,240,HORIZONTAL,"nbmj8991.cpp"
uchuuai,"Mahjong Uchuu yori Ai wo komete (Japan)","1989",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8991.cpp",BUONO,RASTER,"180",640,240,HORIZONTAL,"nbmj8991.cpp"
mjuraden,"Mahjong Uranai Densetsu (Japan)","1992","Nichibutsu / Yubis",-,-,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
vanilla,"Mahjong Vanilla Syndrome (Japan)","1991",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8991.cpp",BUONO,RASTER,"180",640,240,HORIZONTAL,"nbmj8991.cpp"
mjvegasa,"Mahjong Vegas (Japan, unprotected)","1991",Dynax,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
mjvegas,"Mahjong Vegas (Japan)","1991",Dynax,mjvegasa,mjvegasa,-,YES,NO,NO,NO,NO,royalmah.cpp,PRELIMINARE,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
vitaminc,"Mahjong Vitamin C (Japan)","1989","Home Data",-,-,-,YES,NO,NO,NO,NO,homedata.cpp,BUONO,RASTER,"0",432,224,HORIZONTAL,homedata.cpp
wcatcher,"Mahjong Wakuwaku Catcher (Japan)","1993",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
"majxtal7","Mahjong X-Tal 7 - Crystal Mahjong / Mahjong Diamond 7 (Japan)","1990",Dynax,-,-,-,YES,NO,NO,NO,NO,dynax.cpp,INCOMPLETO,RASTER,"180",508,240,HORIZONTAL,dynax.cpp
mjyarou,"Mahjong Yarou [BET] (Japan, set 1)","1986","Visco / Video System",-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
"mjyarou2","Mahjong Yarou [BET] (Japan, set 2)","1986","Visco / Video System",mjyarou,mjyarou,-,YES,NO,NO,NO,NO,royalmah.cpp,INCOMPLETO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
yarunara,"Mahjong Yarunara (Japan)","1991",Dynax,-,-,-,YES,NO,NO,NO,NO,dynax.cpp,BUONO,RASTER,"180",336,239,HORIZONTAL,dynax.cpp
yosimoto,"Mahjong Yoshimoto Gekijou (Japan)","1994","Nichibutsu / Yoshimoto Kougyou",-,-,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
yosimotm,"Mahjong Yoshimoto Gekijou [BET] (Japan)","1994","Nichibutsu / Yoshimoto Kougyou",yosimoto,yosimoto,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
mjyuugi,"Mahjong Yuugi (Japan set 1)","1990",Visco,-,-,-,YES,NO,NO,NO,NO,"srmp2.cpp",BUONO,RASTER,"0",384,240,HORIZONTAL,"srmp2.cpp"
mjyuugia,"Mahjong Yuugi (Japan set 2)","1990",Visco,mjyuugi,mjyuugi,-,YES,NO,NO,NO,NO,"srmp2.cpp",BUONO,RASTER,"0",384,240,HORIZONTAL,"srmp2.cpp"
mjyougo,"Mahjong-yougo no Kisotairyoku (Japan)","1989","Home Data",-,-,-,YES,NO,NO,NO,NO,homedata.cpp,BUONO,RASTER,"0",432,224,HORIZONTAL,homedata.cpp
korinai,"Mahjong-zukino Korinai Menmen (Japan 880425)","1988",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
korinaim,"Mahjong-zukino Korinai Menmen [BET] (Japan 880920)","1988",Nichibutsu,korinai,korinai,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
maiko,"Maikobana (Japan 900802)","1990",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8891.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"nbmj8891.cpp"
mmaiko,"Maikobana [BET] (Japan 900911)","1990",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8891.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"nbmj8891.cpp"
makaijan,"Makaijan [BET] (Japan)","1987",Dynax,-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
mgfx,"Man Guan Fu Xing","2000",IGS,-,-,-,YES,NO,NO,NO,NO,"igs_m027.cpp",PRELIMINARE,RASTER,"0",512,256,HORIZONTAL,"igs_m027.cpp"
manohman,"Mann, oh-Mann","199?",Merkur,-,-,-,YES,NO,NO,NO,NO,manohman.cpp,PRELIMINARE,-,"0",0,0,-,manohman.cpp
